sweep,sensitivity,FAR,eligibility_variant,cohort_strategy,includes_25_day_rule,n_total,n_eligible,n_currently_eligible,n_selected_failing_current_eligibility,n_valid_MPC,n_zero_baseline,n_undefined_MPC,MPC_valid_fraction_of_selected,reference_offset_monthly,eligibility_fraction,eligibility_ci_lo,eligibility_ci_hi,n_observed_RTM,observed_RTM_fraction,observed_RTM_ci_lo,observed_RTM_ci_hi,MPC_median,MPC_ci_lo,MPC_ci_hi,median_sampled_monthly_frequency_eligible,median_effective_long_term_frequency_eligible,median_detector_specific_long_term_frequency_eligible,mean_baseline_frequency_eligible,mean_test_frequency_eligible,median_baseline_frequency_eligible,median_test_frequency_eligible,mean_baseline_excess_over_detector_long_term_eligible,mean_test_excess_over_detector_long_term_eligible,correction_strategy
FAR,1.0,0.5,Exact oracle false-alarm removal,Reselected at each detector condition,False,100000,35393,35393,0,35393,0,0,1.0,0.0,0.35393,0.35097187849702915,0.356899343509681,13170,0.3721074788800045,0.3670858383049689,0.3771568786467143,14.28571428571429,13.333333333333341,14.814814814814813,8.752590654200395,8.416666666666666,8.416666666666666,15.965529907043766,14.567927744657608,8.5,8.0,1.3162489757861724,-0.0813531865999868,Exact oracle false-alarm removal
FAR,1.0,0.6,Primary monthly criteria,Reselected at each detector condition,False,100000,35462,35462,0,35462,0,0,1.0,0.0,0.35462,0.35166054909068356,0.3575906199059311,17998,0.5075291861711128,0.5023252520944944,0.5127314892102347,28.205128205128204,27.61904761904762,28.735632183908045,8.079220927948306,7.666666666666667,7.666666666666667,16.514832778749085,13.970954824882973,9.5,7.666666666666667,2.876137367698757,0.3322594138326471,Expected monthly correction; 25-day rule omitted
FAR,1.0,0.6,Original 25-day rule retained,Reselected at each detector condition,True,100000,35257,35257,0,35257,0,0,1.0,0.0,0.35257,0.3496145185374743,0.355536807952902,17917,0.5081827722154466,0.5029637663157465,0.5133999951864812,28.205128205128204,27.77777777777778,28.888888888888886,8.084093440500055,7.666666666666667,7.666666666666667,16.54492724848966,13.984485350426864,9.5,7.666666666666667,2.8910082473771954,0.3305663493143993,Expected monthly correction + original daily rounding
FAR,1.0,0.6,25-day rule on observed days,Reselected at each detector condition,True,100000,35462,35462,0,35462,0,0,1.0,0.0,0.35462,0.35166054909068356,0.3575906199059311,17998,0.5075291861711128,0.5023252520944944,0.5127314892102347,28.205128205128204,27.61904761904762,28.735632183908045,8.079220927948306,7.666666666666667,7.666666666666667,16.514832778749085,13.970954824882973,9.5,7.666666666666667,2.876137367698757,0.3322594138326471,Expected monthly correction + observed daily intervals
FAR,1.0,0.6,25-day rule on latent true days,Reselected at each detector condition,True,100000,28446,28446,0,28446,0,0,1.0,0.0,0.28446,0.28167207323196014,0.28726448589261216,13321,0.4682907965970611,0.46249674474150626,0.4740934115652987,25.0,24.0,25.49019607843137,9.026586592970592,8.722222222222221,8.722222222222221,18.27726218097448,15.447022428460944,11.0,9.0,3.023916660807612,0.19367690829407766,Expected monthly correction + oracle daily intervals
FAR,1.0,0.6,Monthly criteria without FAR correction,Reselected at each detector condition,False,100000,100000,100000,0,100000,0,0,1.0,18.0,1.0,0.999961586887417,1.0,26827,0.26827,0.2655328826059865,0.27102492033517134,0.0,0.0,0.0,3.400999935303484,2.8333333333333335,20.833333333333332,24.849725,24.792366666666666,21.5,21.333333333333332,0.03114416666666667,-0.02621416666666669,Uncorrected observed counts; 25-day rule omitted
FAR,1.0,0.6,Exact oracle false-alarm removal,Reselected at each detector condition,False,100000,35393,35393,0,35393,0,0,1.0,0.0,0.35393,0.35097187849702915,0.356899343509681,13170,0.3721074788800045,0.3670858383049689,0.3771568786467143,14.28571428571429,13.333333333333341,14.814814814814813,8.752590654200395,8.416666666666666,8.416666666666666,15.965529907043766,14.567927744657608,8.5,8.0,1.3162489757861724,-0.0813531865999868,Exact oracle false-alarm removal
FAR,1.0,0.7,Primary monthly criteria,Reselected at each detector condition,False,100000,35372,35372,0,35372,0,0,1.0,0.0,0.35372,0.3507622844376016,0.3566889537026158,18258,0.5161709826981794,0.5109616284101346,0.5213768249756789,28.888888888888896,28.205128205128204,29.52380952380952,8.008763199099164,7.583333333333333,7.583333333333333,16.638753816578085,13.970230690941989,10.0,7.666666666666667,3.0790769849347255,0.4105538592986292,Expected monthly correction; 25-day rule omitted
FAR,1.0,0.7,Original 25-day rule retained,Reselected at each detector condition,True,100000,35315,35315,0,35315,0,0,1.0,0.0,0.35315,0.3501933894282526,0.35611789250291315,18240,0.516494407475577,0.5112809249055453,0.5217043020124529,28.888888888888896,28.248587570621464,29.55974842767295,8.005808178331048,7.583333333333333,7.583333333333333,16.644825145122468,13.972608428901788,10.0,7.666666666666667,3.084918275205688,0.4127015589850079,Expected monthly correction + original daily rounding
FAR,1.0,0.7,25-day rule on observed days,Reselected at each detector condition,True,100000,35372,35372,0,35372,0,0,1.0,0.0,0.35372,0.3507622844376016,0.3566889537026158,18258,0.5161709826981794,0.5109616284101346,0.5213768249756789,28.888888888888896,28.205128205128204,29.52380952380952,8.008763199099164,7.583333333333333,7.583333333333333,16.638753816578085,13.970230690941989,10.0,7.666666666666667,3.0790769849347255,0.4105538592986292,Expected monthly correction + observed daily intervals
