sweep,sensitivity,FAR,eligibility_variant,cohort_strategy,includes_25_day_rule,n_total,n_eligible,n_currently_eligible,n_selected_failing_current_eligibility,n_valid_MPC,n_zero_baseline,n_undefined_MPC,MPC_valid_fraction_of_selected,reference_offset_monthly,eligibility_fraction,eligibility_ci_lo,eligibility_ci_hi,n_observed_RTM,observed_RTM_fraction,observed_RTM_ci_lo,observed_RTM_ci_hi,MPC_median,MPC_ci_lo,MPC_ci_hi,median_sampled_monthly_frequency_eligible,median_effective_long_term_frequency_eligible,median_detector_specific_long_term_frequency_eligible,mean_baseline_frequency_eligible,mean_test_frequency_eligible,median_baseline_frequency_eligible,median_test_frequency_eligible,mean_baseline_excess_over_detector_long_term_eligible,mean_test_excess_over_detector_long_term_eligible
FAR,1.0,0.1,Perfect-detector monthly criteria held fixed,Fixed perfect-detector cohort,False,100000,35393,35453,4528,35393,0,0,1.0,0.0,0.35393,0.35097187849702915,0.356899343509681,12633,0.35693498714435057,0.3519594861277868,0.3619415405561518,12.684365781710916,11.711711711711715,13.333333333333341,8.752590654200395,8.416666666666666,8.416666666666666,15.959949707569294,14.604375629832644,9.0,8.333333333333334,1.3106687763117,-0.04490530142495217
FAR,1.0,0.2,Primary monthly criteria,Reselected at each detector condition,False,100000,35551,35551,0,35551,0,0,1.0,0.0,0.35551,0.35254884429760686,0.3584822563236674,15616,0.43925627971083797,0.43410414270994,0.444421542603487,21.212121212121215,20.63492063492063,21.95121951219512,8.51700041704865,8.166666666666666,8.166666666666666,16.109631234001856,14.247419200585075,9.0,8.0,1.8972485537209454,0.03503652030416397
FAR,1.0,0.2,Perfect-detector monthly criteria held fixed,Fixed perfect-detector cohort,False,100000,35393,35551,6231,35383,10,10,0.9997174582544571,0.0,0.35393,0.35097187849702915,0.356899343509681,12456,0.3519339982482412,0.34697489251960467,0.35692524184144603,11.475409836065575,11.111111111111116,12.5,8.752590654200395,8.416666666666666,8.416666666666666,15.962323058231854,14.647171286224207,9.0,8.333333333333334,1.3130421269742605,-0.0021096450333870182
FAR,1.0,0.3,Primary monthly criteria,Reselected at each detector condition,False,100000,35437,35437,0,35437,0,0,1.0,0.0,0.35437,0.3514110299808688,0.35734015822230225,16252,0.4586167000592601,0.45343350058339094,0.4638088706676442,23.809523809523814,23.076923076923073,24.6376811594203,8.39865946835112,8.027777777777779,8.027777777777779,16.225287129271667,14.14736951021061,9.0,8.0,2.1799272888036048,0.1020096697425478
FAR,1.0,0.3,Perfect-detector monthly criteria held fixed,Fixed perfect-detector cohort,False,100000,35393,35437,7389,35343,50,50,0.9985872912722855,0.0,0.35393,0.35097187849702915,0.356899343509681,12272,0.34673523013025176,0.34179380205623966,0.35170992446632876,11.111111111111116,11.111111111111105,11.904761904761896,8.752590654200395,8.416666666666666,8.416666666666666,15.977919362585823,14.691652775030843,9.0,8.333333333333334,1.3286384313282287,0.042371843773250845
FAR,1.0,0.4,Primary monthly criteria,Reselected at each detector condition,False,100000,35512,35512,0,35512,0,0,1.0,0.0,0.35512,0.3521595899632389,0.3580915406202632,17045,0.4799785987835098,0.4747848902287489,0.4851766384415275,25.71428571428571,25.0,26.190476190476186,8.273565886752431,7.861111111111111,7.861111111111111,16.29996902455508,14.061575429901628,9.5,7.666666666666667,2.4301769667843107,0.1917833721308603
FAR,1.0,0.4,Perfect-detector monthly criteria held fixed,Fixed perfect-detector cohort,False,100000,35393,35512,8248,35300,93,93,0.9973723617664509,0.0,0.35393,0.35097187849702915,0.356899343509681,12300,0.34752634701777185,0.34258218691917125,0.3525036016657748,11.111111111111105,9.909909909909908,11.111111111111116,8.752590654200395,8.416666666666666,8.416666666666666,16.004068601135817,14.737245594703285,9.5,8.666666666666666,1.3547876698782244,0.08796466344569077
FAR,1.0,0.5,Primary monthly criteria,Reselected at each detector condition,False,100000,35508,35508,0,35508,0,0,1.0,0.0,0.35508,0.3521196665633229,0.35805146709322827,17538,0.49391686380533967,0.48871756956243667,0.49911747412289437,27.27272727272727,26.66666666666667,27.77777777777778,8.187957632359142,7.777777777777778,7.777777777777778,16.416708910668017,14.02252074649844,9.5,7.666666666666667,2.6608729801108986,0.26668481594132154
FAR,1.0,0.5,Perfect-detector monthly criteria held fixed,Fixed perfect-detector cohort,False,100000,35393,35508,8956,35223,170,170,0.9951967903257707,0.0,0.35393,0.35097187849702915,0.356899343509681,12217,0.3451812505297658,0.3402452329700584,0.35015087164426806,11.111111111111105,9.999999999999998,11.111111111111116,8.752590654200395,8.416666666666666,8.416666666666666,16.03853869409205,14.781755337684475,9.5,8.666666666666666,1.389257762834459,0.13247440642688293
FAR,1.0,0.6,Primary monthly criteria,Reselected at each detector condition,False,100000,35462,35462,0,35462,0,0,1.0,0.0,0.35462,0.35166054909068356,0.3575906199059311,17998,0.5075291861711128,0.5023252520944944,0.5127314892102347,28.205128205128204,27.61904761904762,28.735632183908045,8.079220927948306,7.666666666666667,7.666666666666667,16.514832778749085,13.970954824882973,9.5,7.666666666666667,2.876137367698757,0.3322594138326471
FAR,1.0,0.6,Perfect-detector monthly criteria held fixed,Fixed perfect-detector cohort,False,100000,35393,35462,9559,35156,237,237,0.9933037606306332,0.0,0.35393,0.35097187849702915,0.356899343509681,12278,0.34690475517757746,0.3419627403978396,0.35187999942380965,11.111111111111116,9.999999999999998,11.515151515151523,8.752590654200395,8.416666666666666,8.416666666666666,16.077190404882323,14.829862778892249,9.5,8.666666666666666,1.427909473624728,0.18058184763465468
FAR,1.0,0.7,Primary monthly criteria,Reselected at each detector condition,False,100000,35372,35372,0,35372,0,0,1.0,0.0,0.35372,0.3507622844376016,0.3566889537026158,18258,0.5161709826981794,0.5109616284101346,0.5213768249756789,28.888888888888896,28.205128205128204,29.52380952380952,8.008763199099164,7.583333333333333,7.583333333333333,16.638753816578085,13.970230690941989,10.0,7.666666666666667,3.0790769849347255,0.4105538592986292
FAR,1.0,0.7,Perfect-detector monthly criteria held fixed,Fixed perfect-detector cohort,False,100000,35393,35372,10085,35050,343,343,0.9903088181278784,0.0,0.35393,0.35097187849702915,0.356899343509681,12295,0.3473850761450004,0.3424414028002104,0.3523618747021683,11.111111111111116,9.999999999999998,11.627906976744185,8.752590654200395,8.416666666666666,8.416666666666666,16.112621139773402,14.87134932519613,9.5,8.666666666666666,1.4633402085158083,0.22206839393853775
FAR,1.0,0.8,Primary monthly criteria,Reselected at each detector condition,False,100000,35321,35321,0,35321,0,0,1.0,0.0,0.35321,0.350253272896411,0.35617800442518127,18422,0.5215594122476713,0.5163478330248001,0.526766302442033,29.6969696969697,29.166666666666664,30.434782608695656,7.937736902545781,7.527777777777778,7.527777777777778,16.76509725092721,13.975019582307032,10.0,7.666666666666667,3.2549199563369604,0.46484228771678165
FAR,1.0,0.8,Perfect-detector monthly criteria held fixed,Fixed perfect-detector cohort,False,100000,35393,35321,10480,34986,407,407,0.9885005509564038,0.0,0.35393,0.35097187849702915,0.356899343509681,12233,0.3456333173226344,0.3406957197678132,0.350604420310729,11.111111111111105,9.80392156862745,11.111111111111116,8.752590654200395,8.416666666666666,8.416666666666666,16.151046817167238,14.916725529530323,10.0,9.0,1.5017658859096432,0.26744459827272815
FAR,1.0,0.9,Primary monthly criteria,Reselected at each detector condition,False,100000,35224,35224,0,35224,0,0,1.0,0.0,0.35224,0.3492851630945293,0.3552061887485013,18731,0.5317681126504656,0.5265539395889938,0.5369753573341827,30.434782608695656,29.629629629629626,31.29770992366412,7.8539974461354545,7.444444444444445,7.444444444444445,16.886611401317285,13.966367628132335,10.0,7.666666666666667,3.4540859136447373,0.5338421404597875
FAR,1.0,0.9,Perfect-detector monthly criteria held fixed,Fixed perfect-detector cohort,False,100000,35393,35224,10950,34906,487,487,0.9862402169920605,0.0,0.35393,0.35097187849702915,0.356899343509681,12288,0.3471872969231204,0.3422443058425381,0.3521634561442461,10.63829787234043,9.523809523809524,11.111111111111116,8.752590654200395,8.416666666666666,8.416666666666666,16.182338315486113,14.969278294201304,10.0,9.0,1.5330573842285198,0.31999736294370823
FAR,1.0,1.0,Primary monthly criteria,Reselected at each detector condition,False,100000,35134,35134,0,35134,0,0,1.0,0.0,0.35134,0.3483869288489487,0.3543044921376846,18845,0.5363750213468436,0.5311569565512897,0.5415851327143664,31.182795698924735,30.434782608695656,33.33333333333333,7.806436828291843,7.388888888888889,7.388888888888889,16.99090624466329,13.988074230090511,10.5,8.0,3.601032238477448,0.5982002239046698
FAR,1.0,1.0,Perfect-detector monthly criteria held fixed,Fixed perfect-detector cohort,False,100000,35393,35134,11351,34855,538,538,0.9847992540897917,0.0,0.35393,0.35097187849702915,0.356899343509681,12290,0.347243805272229,0.3423006191627032,0.352220147257108,10.427350427350435,9.523809523809524,11.111111111111116,8.752590654200395,8.416666666666666,8.416666666666666,16.219407792501343,15.01561514047034,10.0,9.0,1.5701268612437487,0.36633420921274457
